1020218	Acapulco Renacimiento	Acapulco	Guerrero	Mexico	218	10.121.2.	1..10
1020219	Las Misiones	Ciudad Juarez	Chihuahua	Mexico	219	10.99.4.	1..16
1020220	VIP Las Misiones	Ciudad Juarez	Chihuahua	Mexico	220	10.99.4.	17..20
1020221	Plaza Periferico	Reynosa	Tamaulipas	Mexico	221	10.104.5.	1..14
1020222	VIP Plaza Periferico	Reynosa	Tamaulipas	Mexico	222	10.104.5.	15..18
1020223	Bella Vista	Ciudad Obregon	Sonora	Mexico	223	10.98.4.	1..14
1020224	Pie de la Cuesta	Acapulco	Guerrero	Mexico	224	10.121.3.	1..12
1020225	Nezahualcoyotl	Nezahualcoyotl	Estado de Mexico	Mexico	225	10.116.6.	1..14
1020226	San Cristobal	San Cristobal de las Casas	Chiapas	Mexico	226	10.124.5.	1..10
1020227	Cruz del Sur	Puebla	Puebla	Mexico	227	10.119.4.	1..12
1020231	Cumbres Monterrey	Monterrey	Nuevo Leon	Mexico	231	10.103.5.	1..14
1020232	Puerto Vallarta	Puerto Vallarta	Jalisco	Mexico	232	10.109.11.	1..14
1020233	Cancun Mall	Cancun	Quintana Roo	Mexico	233	10.127.2.	1..12
1020234	Las Americas	Playa del Carmen	Quintana Roo	Mexico	234	10.127.6.	1..12
1020235	Galerias Diana Acapulco	Acapulco	Guerrero	Mexico	235	10.121.4.	1..8
1020236	Ajusco	Ciudad de Mexico	Ciudad de Mexico	Mexico	236	10.117.5.	1..10
1020237	Salagua	Manzanillo	Colima	Mexico	237	10.114.2.	1..9
1020238	Cuauhtemoc	Ciudad Cuauhtemoc	Chihuahua	Mexico	238	10.99.7.	1..8
1020240	Cuernavaca	Cuernavaca	Morelos	Mexico	240	10.118.1.	1..15
1020241	Nogales Mall	Nogales	Sonora	Mexico	241	10.98.3.	1..12
1020242	Tecate	Tecate	Baja California Norte	Mexico	242	10.96.15.	1..7
1020243	Centro Sur	Puebla	Puebla	Mexico	243	10.119.5.	1..12
1020244	Ecatepec Las Americas	Ecatepec	Estado de Mexico	Mexico	244	10.116.8.	1..14
1020245	Nezahualcoyotl Norte	Nezahualcoyotl	Estado de Mexico	Mexico	245	10.116.10.	1..12
1020246	La Gran Plaza Cancun	Cancun	Quintana Roo	Mexico	246	10.127.3.	1..14
1020247	Plaza Las Americas Xalapa	Xalapa	Veracruz	Mexico	247	10.120.6.	1..15
1020249	Plaza Sendero	San Luis Potosi	San Luis Potosi	Mexico	249	10.106.2.	1..14
1020250	La Nogalera	Saltillo	Coahuila	Mexico	250	10.100.1.	1..14
1020252	VIP Galerias Metepec	Toluca	Estado de Mexico	Mexico	252	10.116.23.	17..20
1020253	Anfora	Ciudad de Mexico	Ciudad de Mexico	Mexico	253	10.116.50.	1..7
1020254	Galerias Atizapan	Atizapan	Estado de Mexico	Mexico	254	10.116.18.	1..11
1020255	Galerias Monterrey	Monterrey	Nuevo Leon	Mexico	255	10.103.6.	1..16
1020256	Multiplaza Arboledas	Tlalnepantla	Estado de Mexico	Mexico	256	10.116.11.	1..16
1020257	Sendero Merida	Merida	Yucatan	Mexico	257	10.126.3.	1..12
1020258	Perinorte	Cuautitlan Izcalli	Estado de Mexico	Mexico	258	10.116.31.	1..9
1020259	Plaza agora Uruapan	Uruapan	Michoacan	Mexico	259	10.115.9.	1..11
1020260	Plaza del Puerto	Veracruz	Veracruz	Mexico	260	10.120.2.	1..11
1020261	VIP Galerias Monterrey	Monterrey	Nuevo Leon	Mexico	261	10.103.6.	17..20
1020262	Centro Sur	Guadalajara	Jalisco	Mexico	262	10.109.7.	1..14
1020263	Plaza San Pedro Mexicali	Mexicali	Baja California Norte	Mexico	263	10.96.10.	1..12
1020264	Alameda Guadalajara	Guadalajara	Jalisco	Mexico	264	10.109.8.	1..7
1020265	VIP Galerias Diana Acapulco	Acapulco	Guerrero	Mexico	265	10.121.4.	9..12
