	10.110.7.	12	0	1020284	Parque Celaya	Celaya	Guanajuato	Mexico
	10.121.5.	6	0	1020285	La Isla Acapulco	Acapulco	Guerrero	Mexico
	10.116.36.	10	0	1020286	Paseo Interlomas	Huixquilucan	Estado de Mexico	Mexico
	10.124.4.	10	0	1020288	Plaza del Sol Tuxtla	Tuxtla Gutierrez	Chiapas	Mexico
	10.116.2.	8	0	1020289	Zentralia Coacalco	Coacalco	Estado de Mexico	Mexico
	10.104.2.	11	0	1020290	Sendero Matamoros	Matamoros	Tamaulipas	Mexico
	10.100.2.	12	0	1020291	Sendero Saltillo	Saltillo	Coahuila	Mexico
	10.99.5.	12	0	1020292	Zaragoza	Ciudad Juarez	Chihuahua	Mexico
	10.117.10.	16	0	1020293	Plaza Central	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.116.27.	10	0	1020294	Portal Churubusco	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.115.4.	4	5	1020295	Las Americas Morelia (VIP)	Morelia	Michoacan	Mexico
	10.115.5.	8	0	1020296	Plaza Ana Zamora	Zamora	Michoacan	Mexico
	10.117.21.	16	0	1020297	Forum Buenavista	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.120.3.	7	0	1020298	Plaza Crystal Tuxpan	Tuxpan	Veracruz	Mexico
	10.116.15.	8	0	1020299	Tecamac	Tecamac	Estado de Mexico	Mexico
	10.116.3.	11	0	1020300	Power Center	Coacalco	Estado de Mexico	Mexico
	10.126.2.	10	0	1020301	Altabrisa	Merida	Yucatan	Mexico
	10.110.4.	12	0	1020303	Galerias Las Torres Leon	Leon	Guanajuato	Mexico
	10.117.11.	12	0	1020304	Iztapalapa	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.115.4.	5	0	1020305	Las Americas Morelia	Morelia	Michoacan	Mexico
	10.96.4.	10	0	1020306	Paseo 2000 Tijuana	Tijuana	Baja California Norte	Mexico
	10.104.4.	14	0	1020307	Paseo Reforma	Nuevo Laredo	Tamaulipas	Mexico
	10.117.17.	12	0	1020308	Paseo Acoxpa	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.111.8.	15	0	1020309	Esfera Queretaro	Queretaro	Queretaro	Mexico
	10.109.10.	14	0	1020311	Ciudadela Life Style	Guadalajara	Jalisco	Mexico
	10.96.18.	8	0	1020312	Galerias Hipodromo	Tijuana	Baja California Norte	Mexico
	10.96.16.	10	0	1020315	Pabellon Rosarito	Rosarito	Baja California Norte	Mexico
	10.108.3.	4	10	1020316	Altaria (VIP)	Aguascalientes	Aguascalientes	Mexico
	10.117.9.	12	0	1020317	Arcos Bosques (VIP)	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.103.9.	10	0	1020318	Sendero Lincoln	Monterrey	Nuevo Leon	Mexico
	10.103.8.	14	0	1020319	Citadel Monterrey	Monterrey	Nuevo Leon	Mexico
	10.123.7.	8	0	1020320	Sendero Villahermosa	Villahermosa	Tabasco	Mexico
	10.96.12.	12	0	1020321	Galerias del Valle	Mexicali	Baja California Norte	Mexico
	10.98.6.	10	0	1020322	Galerias Hermosillo	Hermosillo	Sonora	Mexico
	10.126.2.	4	10	1020323	Altabrisa (VIP)	Merida	Yucatan	Mexico
	10.98.7.	8	0	1020324	San Luis Rio Colorado	San Luis Rio Colorado	Sonora	Mexico
	10.97.2.	8	0	1020325	Cabo	Los Cabos	Baja California Sur	Mexico
	10.112.3.	6	0	1020326	Tepeji del Rio	Tepeji del Rio	Hidalgo	Mexico
	10.124.2.	10	0	1020329	Galerias Tapachula	Tapachula	Chiapas	Mexico
	10.116.9.	10	0	1020330	Sendero Ecatepec	Ecatepec	Estado de Mexico	Mexico
	10.99.6.	10	0	1020332	Sendero Juarez	Ciudad Juarez	Chihuahua	Mexico
	10.103.10.	6	0	1020333	Interplaza Monterrey	Monterrey	Nuevo Leon	Mexico
	10.110.9.	7	0	1020334	Galerias Metropolitana	Uriangato	Guanajuato	Mexico
	10.121.7.	7	0	1020335	Iguala	Iguala	Guerrero	Mexico
	10.116.28.	10	0	1020339	Lago de Guadalupe	Cuautitlan Izcalli	Estado de Mexico	Mexico
	10.116.20.	8	0	1020340	Pedregal Atizapan	Atizapan	Estado de Mexico	Mexico
	10.117.12.	11	0	1020342	Plaza Aeropuerto	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.103.11.	8	0	1020343	Sendero Apodaca	Monterrey	Nuevo Leon	Mexico
	10.116.17.	16	0	1020344	Neza Jardin Carso	Nezahualcoyotl	Estado de Mexico	Mexico
	10.119.1.	5	15	1020345	Angelopolis (VIP)	Puebla	Puebla	Mexico
	10.116.21.	10	0	1020346	Luna Parc	Cuautitlan Izcalli	Estado de Mexico	Mexico
	10.120.4.	10	0	1020347	Patio Coatzacoalcos	Coatzacoalcos	Veracruz	Mexico
	10.117.19.	9	0	1020348	Samara (VIP)	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.116.29.	10	0	1020349	Gran Patio Texcoco 	Texcoco	Estado de Mexico	Mexico
	10.96.6.	8	0	1020351	Playas Coronado	Tijuana	Baja California Norte	Mexico
	10.96.11.	12	0	1020352	Plaza Centenario  	Mexicali	Baja California Norte	Mexico
	10.96.14.	12	0	1020353	Plaza Marina	Ensenada	Baja California Norte	Mexico
	10.96.5.	10	0	1020354	Americana Otay 	Tijuana	Baja California Norte	Mexico
	10.121.8.	7	0	1020355	Galerias Chilpancingo	Chilpancingo	Guerrero	Mexico
	10.117.31.	8	0	1020357	Encuentro Fortuna	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.116.19.	7	0	1020358	Patio Ayotla	Ixtapaluca	Estado de Mexico	Mexico
	10.116.16.	16	0	1020359	Sendero Ixtapaluca	Ixtapaluca	Estado de Mexico	Mexico
	10.118.2.	12	0	1020361	Cuautla	Cuautla	Morelos	Mexico
	10.124.8.	7	0	1020369	Plaza Flores Comitan	Comitan	Chiapas	Mexico
	10.116.30.	11	0	1020370	Town Center Zumpango 	Zumpango	Estado de Mexico	Mexico
	10.117.20.	16	0	1020371	Town Center El Rosario	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.101.7.	7	0	1020372	Paseo San Isidro	Culiacan	Sinaloa	Mexico
	10.101.5.	14	0	1020374	Gran Plaza Mazatlan	Mazatlan	Sinaloa	Mexico
	10.116.18.	4	11	1020375	Galerias Atizapan (VIP)	Atizapan	Estado de Mexico	Mexico
	10.96.18.	4	8	1020376	VIP Hipodromo Tijuana	Tijuana	Baja California Norte	Mexico
	10.97.3.	10	0	1020377	Sendero Los Cabos	Los Cabos	Baja California Sur	Mexico
	10.121.6.	8	0	1020378	Sendero Acapulco	Acapulco	Guerrero	Mexico
	10.100.2.	4	12	1020379	Sendero Saltillo (VIP)	Saltillo	Coahuila	Mexico
	10.116.35.	8	0	1020385	Sendero Valle de Chalco	Valle de Chalco	Estado de Mexico	Mexico
	10.100.3.	8	0	1020386	Acuña	Ciudad Acuna	Coahuila	Mexico
	10.120.9.	12	0	1020388	Plaza Valle Orizaba	Orizaba	Veracruz	Mexico
	10.116.38.	12	0	1020390	Centro Tepozan	Nezahualcoyotl	Estado de Mexico	Mexico
	10.116.37.	10	0	1020391	Plaza Centella	Cuautitlan Izcalli	Estado de Mexico	Mexico
	10.108.5.	8	0	1020392	Adana Aguascalientes	Aguascalientes	Aguascalientes	Mexico
	10.121.10.	5	0	1020393	Las Americas Taxco	Taxco	Guerrero	Mexico
	10.103.14.	7	0	1020395	Adana Lincoln	Monterrey	Nuevo Leon	Mexico
	10.125.2.	7	0	1020396	Zentralia Ciudad del Carmen	Ciudad del Carmen	Campeche	Mexico
	10.113.1.	7	0	1020399	Gran Patio Tlaxcala	Tlaxcala	Tlaxcala	Mexico
	10.97.6.	8	0	1020400	The Shoppes at la Paz	La Paz	Baja California Sur	Mexico
	10.98.6.	6	10	1020401	Galerias Hermosillo (VIP)	Hermosillo	Sonora	Mexico
	10.117.15.	10	0	1020402	Torres Lindavista	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.115.13.	7	0	1020404	Galerias la Piedad	La Piedad	Michoacan	Mexico
	10.106.3.	12	0	1020414	Plaza San Luis	San Luis Potosi	San Luis Potosi	Mexico
	10.119.8.	11	0	1020415	Plaza San Diego	Puebla	Puebla	Mexico
	10.99.9.	7	0	1020418	Escala Parral	Parral	Chihuahua	Mexico
	10.117.18.	5	0	1020419	Plaza Carso	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.116.34.	10	0	1020420	Plaza Chimalhuacan 	Chimalhuacan	Estado de Mexico	Mexico
	10.116.33.	9	0	1020434	Arkana Norte	Cuautitlan Izcalli	Estado de Mexico	Mexico
	10.104.8.	10	0	1020435	Plaza Comercial del Río	Reynosa	Tamaulipas	Mexico
	10.110.11.	10	0	1020438	Galerias Celaya	Celaya	Guanajuato	Mexico
	10.123.4.	5	0	1020439	Comalcalco	Comalcalco	Tabasco	Mexico
	10.123.5.	5	0	1020440	San Joaquin	Villahermosa	Tabasco	Mexico
	10.120.10.	8	0	1020443	Plaza Shangri-La	Cordoba	Veracruz	Mexico
	10.111.5.	7	0	1020444	Paseo del Rio	San Juan Del Rio	Queretaro	Mexico
	10.123.6.	8	0	1020445	Plaza Deportiva	Villahermosa	Tabasco	Mexico
	10.117.18.	4	5	1020446	Plaza Carso (VIP)	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.103.13.	11	0	1020447	Valle Soleado	Monterrey	Nuevo Leon	Mexico
	10.109.20.	10	0	1020448	Gran Terraza Oblatos	Guadalajara	Jalisco	Mexico
	10.116.32.	5	0	1020449	Huehuetoca	Huehuetoca	Estado de Mexico	Mexico
	10.106.3.	4	12	1020450	Plaza San Luis (VIP)	San Luis Potosi	San Luis Potosi	Mexico
	10.101.4.	5	0	1020452	Santa Rosa	Mazatlan	Sinaloa	Mexico
	10.116.36.	5	10	1020453	Paseo Interlomas (VIP)	Huixquilucan	Estado de Mexico	Mexico
	10.127.8.	5	0	1020454	Las Tiendas	Cancun	Quintana Roo	Mexico
	10.116.44.	5	0	1020455	Punto Atizapan	Atizapan	Estado de Mexico	Mexico
	10.107.1.	7	0	1020456	Lago Real	Bahia de Banderas	Nayarit	Mexico
	10.117.23.	10	0	1020457	Patio Universidad	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.117.24.	12	0	1020458	Patio Santa Fe	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.117.26.	8	0	1020461	Plaza Parque Jardin	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.109.16.	12	0	1020462	Plaza Rio Nilo	Tonala	Jalisco	Mexico
	10.109.19.	8	0	1020463	Gran Terraza Belenes	Zapopan	JalIsco	Mexico
	10.110.14.	6	0	1020464	Paseo San Francisco	San Francisco del Rincon 	Guanajuato	Mexico
	10.97.4.	5	0	1020467	Paseo la Paz	La Paz	Baja California Sur	Mexico
	10.96.7.	5	0	1020468	La Pajarita	Tijuana	Baja California Norte	Mexico
	10.115.10.	9	0	1020469	Lazaro Cardenas	Lazaro Cardenas	Michoacan	Mexico
	10.103.20.	11	0	1020470	Nuevo Sur	Monterrey	Nuevo Leon	Mexico
	10.105.1.	12	0	1020474	Galerias Zacatecas	Zacatecas	Zacatecas	Mexico
	10.120.12.	10	0	1020484	El Dorado Veracruz	Veracruz	Veracruz	Mexico
	10.109.17.	5	0	1020485	Plaza Chedrahui Tlajomulco	Tlajomulco de Zúñiga	Jalisco	Mexico
	10.116.48.	10	0	1020486	Vía Vallejo	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.103.17.	5	0	1020512	Cienega de Flores	Cienega de Flores	Nuevo Leon	Mexico
	10.103.15.	5	0	1020513	Cadereyta	Cadereyta	Nuevo Leon	Mexico
	10.104.9.	5	0	1020514	Plaza Citadina Reynosa	Reynosa	Tamaulipas	Mexico
	10.103.18.	5	0	1020515	Altea Linares	Linares	Nuevo Leon	Mexico
	10.119.10.	5	0	1020516	San Jeronimo	Puebla	Puebla	Mexico
	10.115.12.	5	0	1020517	Plaza San Francisco	Ciudad Hidalgo	Michoacan	Mexico
	10.118.3.	5	0	1020518	Jojutla	Jojutla de Juarez	Morelos	Mexico
	10.103.5.	4	14	1020520	Cumbres Monterrey (VIP)	Monterrey	Nuevo Leon	Mexico
	10.116.40.	9	0	1020525	Town Center Nicolas Romero 	Nicolas Romero	Estado de Mexico	Mexico
